"punto_de_venta","fecha","mes","anio","num_ventas","sku","marca","gamma","costo_promedio","zona","estado","ciudad","latitud","longitud"
"1 poniente","01/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","01/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","04/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","07/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","11/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","13/06/2019","6",2019,1,"N.AA3PLNG","zte","baja",1577.834117,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","18/06/2019","6",2019,1,"N.AA3PLNG","zte","baja",1577.834117,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","18/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","21/06/2019","6",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","28/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","28/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","30/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","02/07/2019","7",2019,1,"N.AA3PLNG","zte","baja",1577.834117,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","02/07/2019","7",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","04/07/2019","7",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","06/07/2019","7",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","06/07/2019","7",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","06/07/2019","7",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","07/07/2019","7",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","09/07/2019","7",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","17/07/2019","7",2019,1,"N.LX520DR","zte","baja",896.9974673,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","17/07/2019","7",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","17/07/2019","7",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","18/07/2019","7",2019,1,"N.LX520DR","zte","baja",896.9974673,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","20/07/2019","7",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","01/08/2019","8",2019,1,"N.LX520DR","zte","baja",896.9974673,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","01/08/2019","8",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","09/09/2019","9",2019,1,"N.LX520DR","zte","baja",896.9974673,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","09/09/2019","9",2019,1,"N.LX520NG","zte","baja",891.3090504,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","13/10/2019","10",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","14/10/2019","10",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","23/10/2019","10",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","24/10/2019","10",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","24/10/2019","10",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","28/10/2019","10",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","01/11/2019","11",2019,1,"N.ZV8MDR","zte","baja",2302.044269,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","03/11/2019","11",2019,1,"N.ZTA321A","zte","baja",662.8881076,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","03/11/2019","11",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","05/11/2019","11",2019,1,"N.ZTA321A","zte","baja",662.8881076,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","06/11/2019","11",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","08/11/2019","11",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","09/11/2019","11",2019,1,"N.ZTA321A","zte","baja",662.8881076,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","09/11/2019","11",2019,1,"N.ZTA321G","zte","baja",702.2679312,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","09/11/2019","11",2019,1,"N.ZV8MPN","zte","baja",2053.666485,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","12/11/2019","11",2019,1,"N.ZTEA6NG","zte","baja",1285.629279,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","13/11/2019","11",2019,1,"N.ZTA321G","zte","baja",702.2679312,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","13/11/2019","11",2019,1,"N.ZTEA6NG","zte","baja",1285.629279,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","17/11/2019","11",2019,1,"N.ZV8MDR","zte","baja",2302.044269,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","17/11/2019","11",2019,1,"N.ZV8MDR","zte","baja",2302.044269,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","21/11/2019","11",2019,1,"N.ZV8MDR","zte","baja",2302.044269,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","29/11/2019","11",2019,1,"N.ZV8MDR","zte","baja",2302.044269,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","01/12/2019","12",2019,1,"N.ZV8MDR","zte","baja",2302.044269,"centro sur","puebla","tehuacan",18.462101,-97.394959
"1 poniente","28/02/2020","2",2020,1,"N.ZTA321A","zte","baja",662.8881076,"centro sur","puebla","tehuacan",18.462101,-97.394959
"5 de mayo zmm","04/07/2019","7",2019,1,"N.AA3PLNG","zte","baja",1577.834117,"centro occidente","michoacan","zamora",19.98131,-102.28329
"acayucan","15/06/2019","6",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"golfo de mexico","veracruz","oluta",17.93999,-94.9106
"acayucan","21/07/2019","7",2019,1,"N.ZV8MNG","zte","baja",2470.788782,"golfo de mexico","veracruz","oluta",17.93999,-94.9106
"acayucan","11/11/2019","11",2019,1,"N.ZTA321A","zte","baja",662.8881076,"golfo de mexico","veracruz","oluta",17.93999,-94.9106
"acayucan","12/11/2019","11",2019,1,"N.ZTA321A","zte","baja",662.8881076,"golfo de mexico","veracruz","oluta",17.93999,-94.9106
