Metrica,Conjunto,Mes,Promedios_Moviles2,Promedios_Moviles3,Arbol_de_Decision_1,Arbol_de_Decision_2
MAE,Entrenamiento,Julio,NaN,NaN,0.108075,0.108215
MAE,Entrenamiento,Agosto,NaN,NaN,0.111977,0.121342
MAE,Entrenamiento,Septiembre,NaN,NaN,0.110933,0.111321
MAE,Entrenamiento,Octubre,NaN,NaN,0.09133,0.086723
MAE,Entrenamiento,Noviembre,NaN,NaN,0.096398,0.07421
MAE,Entrenamiento,Diciembre,NaN,NaN,0.066544,0.067301
MAE,Entrenamiento,Enero,NaN,NaN,0.063934,0.064573
MAE,Entrenamiento,Febrero,NaN,NaN,0.061356,0.062104
MAE,Prueba,Agosto,0.153399,NaN,0.11765,0.119048
MAE,Prueba,Septiembre,0.150137,0.144294,0.104254,0.134494
MAE,Prueba,Octubre,0.112315,0.111197,0.032523,0.036716
MAE,Prueba,Noviembre,0.067678,0.084296,0.024042,0.024019
MAE,Prueba,Diciembre,0.044625,0.061403,0.043915,0.032756
MAE,Prueba,Enero,0.062587,0.060945,0.048271,0.048201
MAE,Prueba,Febrero,0.048073,0.042975,0.013163,0.014444
MAE,Prueba,Marzo,0.043507,0.044699,0.016984,0.017216
MSE,Entrenamiento,Julio,NaN,NaN,0.285831,0.279308
MSE,Entrenamiento,Agosto,NaN,NaN,0.295557,0.266063
MSE,Entrenamiento,Septiembre,NaN,NaN,0.267084,0.263171
MSE,Entrenamiento,Octubre,NaN,NaN,0.210517,0.208287
MSE,Entrenamiento,Noviembre,NaN,NaN,0.185672,0.177257
MSE,Entrenamiento,Diciembre,NaN,NaN,0.164725,0.156676
MSE,Entrenamiento,Enero,NaN,NaN,0.156516,0.14928
MSE,Entrenamiento,Febrero,NaN,NaN,0.132807,0.132793
MSE,Prueba,Agosto,NaN,NaN,0.274858,0.277654
MSE,Prueba,Septiembre,NaN,NaN,0.28201,0.280892
MSE,Prueba,Octubre,NaN,NaN,0.040816,0.052325
MSE,Prueba,Noviembre,NaN,NaN,0.034666,0.034922
MSE,Prueba,Diciembre,NaN,NaN,0.060223,0.053769
MSE,Prueba,Enero,NaN,NaN,0.107259,0.104906
MSE,Prueba,Febrero,NaN,NaN,0.023786,0.023996
MSE,Prueba,Marzo,NaN,NaN,0.022435,0.023087
